Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v2,Arduino NANO
"C1, C2",1210,2,10uF,CL32B106KBJNNNE
"C3, C4, C7",0603,3,0.1uF,CL10B104KB8NNNC
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,16,75V,1N4148W
FH1,Wurth_696108003002,1,20A_MAX,696108003002
"J1, J2",TE_1x16_3.5mm_1-2842484-6,2,1-2842484-6,1-2842484-6
J3,TE_1x16_3.5mm_2842484-2,1,2842484-2,2842484-2
"LD1, LD10, LD11, LD12, LD13, LD14, LD15, LD16, LD2, LD3, LD4, LD5, LD6, LD7, LD8, LD9",0603,16,Green,HSME-C191
"MH1, MH4",MountingHole_3.2mm_M3_Pad,2,3mm,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23-3_G-S-D,16,DMN3404L-7,DMN3404L-7
Q17,TO-252-2,1,SQD40031EL_GE3,SQD40031EL_GE3
"R1, R10, R11, R12, R17, R18, R19, R2, R20, R25, R26, R27, R28, R3, R4, R9",0603,16,560,RC0603FR-07560RL
"R13, R14, R15, R16, R21, R22, R23, R24, R29, R30, R31, R32, R5, R6, R7, R8",1206,16,8.2,RMCF1206FT8R20
"R33, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52",0603,19,10K,RC0603FR-0710KL
R34,0603,1,3.3K,RC0603FR-073K3L
RV1,Potentiometer_Bourns_3386F_Vertical,1,10K,3386F-1-103TLF
SW1,SW_PUSH-12mm_7mm_BLK,1,SW_Push,TS14-1212-70-BK-160-SCR-D
"U1, U10, U11, U12, U13, U14, U15, U16, U2, U3, U4, U5, U6, U7, U8, U9",SOT-23-6_Handsoldering,16,~,BCR421UW6-7
U17,TO-252-2,1,3_Pin,MC7805BDTG
